,COD_APE,DATA_INS,RESIDENZIALE,NON_RESIDENZIALE,COMUNE_CATASTALE,SEZIONE_x,FOGLIO,PARTICELLA,SUBALTERNO_x,PROPRIETA_PUBBLICA,USO_PUBBLICO,CLASSIFICAZIONE_DPR,INTERO_EDIFICIO,UNITA_IMMOBILIARE,GRUPPO_UNITA_IMMOBILIARI,NUMERO_UNITA_IMMOBILIARI,NUOVA_COSTRUZIONE,PASSAGGIO_PROPRIETA,LOCAZIONE,RISTRUTTURAZIONE_IMPORTANTE,RIQUALIFICAZIONE_ENERGETICA,OGGETTO_ALTRO,OGGETTO_ALTRO_TXT,REGIONE,COMUNE_x,INDIRIZZO_x,PIANO,INTERNO,WGS84_X,WGS84_Y,location,ZONA_CLIMATICA,ANNO_COSTRUZIONE_x,SUPERF_UTILE_RISCALDATA,SUPERF_UTILE_RAFFRESCATA,VOLUME_LORDO_RISCALDATO,VOLUME_LORDO_RAFFRESCATO,CLIMATIZZAZIONE_INVERNALE,CLIMATIZZAZIONE_ESTIVA,VENTILAZIONE_MECCANICA,PROD_ACQUA_CALDA_SANITARIA,ILLUMINAZIONE,TRASPORTO_PERSONE_COSE,PI,PE,EDIFICIO_ENERGIA_QUASI_ZERO,CLASSE_ENERGETICA_x,EP_GL_NREN,Y,Z,EP_GL_REN,EMISSIONI_CO2,CONSUMI_ENERGIA_ELETTRICA,CONSUMI_GAS_NATURALE,CONSUMI_GPL,CONSUMI_CARBONE,CONSUMI_GASOLIO,CONSUMI_BIOMASSE_SOLIDE,CONSUMI_BIOMASSE_LIQUIDE,CONSUMI_BIOMASSE_GASSOSE,CONSUMI_SOLARE_FOTOVOLTAICO,CONSUMI_SOLARE_TERMICO,CONSUMI_EOLICO,CONSUMI_TELERISCALDAMENTO,CONSUMI_TELERAFFRESCAMENTO,CONSUMI_ALTRO,RIQ_CLASSE_RAGG,RIQ_EP_GL_NREN_RAGG,DS_CODICE_INTERVENTO_1,DS_TIPO_INTERVENTO_1,FL_COMPORTA_RISTRUT_1,NM_TEMPO_RITORNO_INVESTIM_1,DS_CLASSE_RAGGIUNGIBILE_1,NM_EP_GL_NREN_RAGGIUNG_1,DS_CODICE_INTERVENTO_2,DS_TIPO_INTERVENTO_2,FL_COMPORTA_RISTRUT_2,NM_TEMPO_RITORNO_INVESTIM_2,DS_CLASSE_RAGGIUNGIBILE_2,NM_EP_GL_NREN_RAGGIUNG_2,DS_CODICE_INTERVENTO_3,DS_TIPO_INTERVENTO_3,FL_COMPORTA_RISTRUT_3,NM_TEMPO_RITORNO_INVESTIM_3,DS_CLASSE_RAGGIUNGIBILE_3,NM_EP_GL_NREN_RAGGIUNG_3,DS_CODICE_INTERVENTO_4,DS_TIPO_INTERVENTO_4,FL_COMPORTA_RISTRUT_4,NM_TEMPO_RITORNO_INVESTIM_4,DS_CLASSE_RAGGIUNGIBILE_4,NM_EP_GL_NREN_RAGGIUNG_4,DS_CODICE_INTERVENTO_5,DS_TIPO_INTERVENTO_5,FL_COMPORTA_RISTRUT_5,NM_TEMPO_RITORNO_INVESTIM_5,DS_CLASSE_RAGGIUNGIBILE_5,NM_EP_GL_NREN_RAGGIUNG_5,DS_CODICE_INTERVENTO_6,DS_TIPO_INTERVENTO_6,FL_COMPORTA_RISTRUT_6,NM_TEMPO_RITORNO_INVESTIM_6,DS_CLASSE_RAGGIUNGIBILE_6,NM_EP_GL_NREN_RAGGIUNG_6,DS_CODICE_INTERVENTO_7,DS_TIPO_INTERVENTO_7,FL_COMPORTA_RISTRUT_7,NM_TEMPO_RITORNO_INVESTIM_7,DS_CLASSE_RAGGIUNGIBILE_7,NM_EP_GL_NREN_RAGGIUNG_7,ENERGIA_ESPORTATA,VETTORE_ENERGETICO,SUPERFICIE_DISPERDENTE_x,RAPPORTO_SV,EP_H_ND,A_SOL_EST_A_SUP_UTILE,Y_IE,CI_TIPO_IMPIANTO_1,CI_ANNO_INSTALLAZIONE_1,CI_CODICE_CATASTO_1,CI_VETTORE_ENERGETICO_1,CI_POTENZA_NOMINALE_1,CI_TIPO_IMPIANTO_2,CI_ANNO_INSTALLAZIONE_2,CI_VETTORE_ENERGETICO_2,CI_POTENZA_NOMINALE_2,CI_EFFICIENZA_MEDIA,CI_EPREN,CI_EPNREN,CE_TIPO_IMPIANTO_1,CE_ANNO_INSTALLAZIONE_1,CE_VETTORE_ENERGETICO_1,CE_POTENZA_NOMINALE_1,CE_TIPO_IMPIANTO_2,CE_ANNO_INSTALLAZIONE_2,CE_VETTORE_ENERGETICO_2,CE_POTENZA_NOMINALE_2,CE_EFFICIENZA_MEDIA,CE_EPREN,CE_EPNREN,PA_TIPO_IMPIANTO,PA_ANNO_INSTALLAZIONE,PA_VETTORE_ENERGETICO,PA_POTENZA_NOMINALE,PA_EFFICIENZA_MEDIA,PA_EPREN,PA_EPNREN,IC_TIPO_IMPIANTO,IC_ANNO_INSTALLAZIONE,IC_VETTORE_ENERGETICO,IC_POTENZA_NOMINALE,IC_EFFICIENZA_MEDIA,IC_EPREN,IC_EPNREN,PFR_TIPO_IMPIANTO_1,PFR_ANNO_INSTALLAZIONE_1,PFR_VETTORE_ENERGETICO_1,PFR_POTENZA_NOMINALE_1,PFR_EFFICIENZA_MEDIA_1,PFR_EPREN_1,PFR_EPNREN_1,PFR_TIPO_IMPIANTO_2,PFR_ANNO_INSTALLAZIONE_2,PFR_VETTORE_ENERGETICO_2,PFR_POTENZA_NOMINALE_2,PFR_EFFICIENZA_MEDIA_2,PFR_EPREN_2,PFR_EPNREN_2,VM_TIPO_IMPIANTO,VM_ANNO_INSTALLAZIONE,VM_VETTORE_ENERGETICO,VM_POTENZA_NOMINALE,VM_EFFICIENZA_MEDIA,VM_EPREN,VM_EPNREN,ILL_TIPO_IMPIANTO,ILL_ANNO_INSTALLAZIONE,ILL_VETTORE_ENERGETICO,ILL_POTENZA_NOMINALE,ILL_EFFICIENZA_MEDIA,ILL_EPREN,ILL_EPNREN,TPC_TIPO_IMPIANTO_1,TPC_ANNO_INSTALLAZIONE_1,TPC_VETTORE_ENERGETICO_1,TPC_POTENZA_NOMINALE_1,TPC_EFFICIENZA_MEDIA_1,TPC_EPREN_1,TPC_EPNREN_1,TPC_TIPO_IMPIANTO_2,TPC_ANNO_INSTALLAZIONE_2,TPC_VETTORE_ENERGETICO_2,TPC_POTENZA_NOMINALE_2,TPC_EFFICIENZA_MEDIA_2,TPC_EPREN_2,TPC_EPNREN_2,SOPRALLUOGO,SW_REQUISITI,SW_SEMPLIFICATO,Limiti amministrativi 2015 delle province di Regione Lombardia,ENTE_PUBBLICO,ATS Regione Lombardia,Limiti amministrativi 2014 delle province di Regione Lombardia,TECNICO_ABILITATO,SOCIETA,NOME_DENOMINAZIONE_CERT,TITOLO_CERT,ORDINE_CERT,CODICE_IDENTIFICATIVO_PRATICA,DATA_CHIUSURA_PRATICA,INDIRIZZO_y,PROVINCIA,COMUNE_y,SEZIONE_y,SUBALTERNO_y,NOME_CERTIFICATORE,COGNOME_CERTIFICATORE,EDIFICIO_PUBBLICO,DESTINAZIONE_DI_USO,ANNO_COSTRUZIONE_y,MOTIVAZIONE_APE,SUPERFICIE_LORDA,SUPERFICIE_NETTA,VOLUME_LORDO,VOLUME_NETTO,SUPERFICIE_DISPERDENTE_y,SUPERFICIE_VETRATA_OPACA,TRASMITTANZA_MEDIA_INVOLUCRO,TRASMITTANZA_MEDIA_COPERTURA,TRASMITTANZA_MEDIA_BASAMENTO,TRASMITTANZA_MEDIA_SERRAMENTO,CLASSE_ENERGETICA_y,EPH,ETH,ETC,EFER,EMISSIONI_DI_CO2,EPW,EPT,EF_GLOB_MEDIA_RISCALDAMENTO,EF_GLOB_MEDIA_ACQUA_CALDA_SAN,EGHW,TIPOLOGIA_VENTILAZIONE,NUMERO_RICAMBI_ORARI,TIPOLOGIA_PANNELLO_ST,TIPOLOGIA_PANNELLO_FV,SUPERFICIE_CAPTANTE_FV,SUPERFICIE_APERTURA_ST,SUP_PAN_FV_SUP_UTILE,SUP_PAN_ST_SUP_UTILE,TIPOLOGIA_COMBUSTIBILE,TIPOLOGIA_GENERATORE,POTENZA_GENERATORE,surfdiff
56101,1605100005619,04/06/2019,True,False,CAPRIATE SAN GERVASIO,CA,1,150,701,False,False,E.1 (1),True,False,False,1.0,False,True,False,False,False,True,Annuncio commerciale,Lombardia,CAPRIATE SAN GERVASIO,vicolo Monte Grappa 4,terra/primo,,,,,E,1930-1945,70.36,0.0,263.86,0.0,True,False,False,True,False,False,red,yellow,False,G,422.87,"B (65,2)",,0.0,80.47,0.0,2850.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Fabbricato - involucro opaco,No,6.0,9.0,203.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,159.08,0.6,269.48,0.02,0.29,Generatore a combustione,2002.0,,Gas naturale,23.7,,,,,0.67,0.0,399.74,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2002.0,Gas naturale,23.7,0.78,0.0,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,,False,,,True,False,Gabriele Cortiana,Laurea magistrale in ingegneria,Ordine degli ingegneri,1811000245712,17-GIU-12,"VIALE DAMIANO CHIESA, 4",PV,PAVIA,A,1,Rita,Carlucci,NO,E.1(1),prima del 1930,Nuova installazione d'impianto termico,93.53,72.83,294.62,200.28,163.02,0.0668,0.76,,1.15,2.3753,F,163.1605,141.1203,4.2233,0,32.597,27.3346,190.4951,0.86,0.76,0.85,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore a condensazione,23.50,0.024767412622579817
56131,1319300000617,23/06/2017,False,True,PUSIANO,,6,163,702,False,False,E.8,True,False,False,1.0,False,False,True,False,False,False,,Lombardia,PUSIANO,via Giuseppe Mazzini 81,T,,45.81486146281714,9.291370389714062,"(45.81486146281715, 9.291370389714062)",E,1961-1976,61.77,61.77,307.55,307.55,True,True,False,True,True,False,red,red,False,F,289.71,"B (106,33)",,5.51,55.86,723.74,1579.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,212.52,1.0,Fabbricato - involucro opaco,No,1e-08,8.0,212.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,1e-08,8.0,212.52,0.0,,184.74,0.6,214.01,0.06,0.72,Generatore a combustione,2017.0,,Gas naturale,25.0,,,,,0.79,1.34,269.52,Pompa di calore,2017.0,Energia elettrica,3.5,,,,,0.0,0.0,0.0,Generatore a combustione,2017.0,Gas naturale,25.0,0.81,0.0,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.08,,4.17,17.3,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,2.0,False,3.0,2.0,True,False,Gabriele Gatti,Laurea magistrale in ingegneria,Altro,1705700014612,18-SET-12,"VIA ROMA, 68",BS,COLLEBEATO,NCT,511,Anna,Oneda,NO,E.1(1),1977-1992,Contratto di locazione,110,95,394.0,312,182.0,0.0643,1.3995,1.17,,3.2629,G,186.4558,136.0372,32.7333,0,37.2468,35.0101,221.4659,0.73,0.55,0.7,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.50,0.014831655299339662
56151,1906800001418,15/06/2018,True,False,PERSICO DOSIMO,,6,163,505,False,False,E.1(1),True,False,False,1.0,False,False,False,False,True,False,,Lombardia,PERSICO DOSIMO,via VIII marzo  3,1,,45.1860020291407,10.103665260878351,"(45.1860020291407, 10.103665260878353)",E,1993-2006,176.65,0.0,711.13,0.0,True,False,False,True,False,False,red,red,False,F,214.22,"B (68,29)",,0.05,40.77,19.51,3622.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,112.88,1.0,Fabbricato - involucro opaco,No,9.7,7.0,122.23,2.0,Fabbricato - involucro trasparente,No,34.5,9.0,204.78,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,12.0,7.0,112.88,0.0,,332.69,0.47,145.23,0.04,0.49,Generatore a combustione,2001.0,ZC1TW34204340303,Gas naturale,24.0,Generatore a combustione,2001.0,Gas naturale,24.0,0.74,0.05,195.71,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2001.0,Gas naturale,24.0,0.8,0.0,18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,8.0,False,4.0,8.0,True,False,Marco Nolli,Diploma di laurea in ingegneria,Ordine degli ingegneri,1509800020913,24-SET-13,"PIAZZA MARTIRI DI TIEN AN MEN, 9",MI,CUSANO MILANINO,,4,Luca,Vernaleone,NO,E.2,1977-1992,Trasferimento a titolo oneroso,132.98,115.76,451.36,310.06,322.23,0.0761,0.8034,0.93,1.1,3.8091,E,49.4961,52.4036,8.7249,0,9.8357,0,49.4961,1.06,0,1.06,Aerazione - Ventilazione naturale,1.0600,,,,,,,Energia elettrica,Pompa di calore,11.20,0.03144068051339078
56152,1906800001418,15/06/2018,True,False,PERSICO DOSIMO,,6,163,505,False,False,E.1(1),True,False,False,1.0,False,False,False,False,True,False,,Lombardia,PERSICO DOSIMO,via VIII marzo  3,1,,45.1860020291407,10.103665260878351,"(45.1860020291407, 10.103665260878353)",E,1993-2006,176.65,0.0,711.13,0.0,True,False,False,True,False,False,red,red,False,F,214.22,"B (68,29)",,0.05,40.77,19.51,3622.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,112.88,1.0,Fabbricato - involucro opaco,No,9.7,7.0,122.23,2.0,Fabbricato - involucro trasparente,No,34.5,9.0,204.78,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,12.0,7.0,112.88,0.0,,332.69,0.47,145.23,0.04,0.49,Generatore a combustione,2001.0,ZC1TW34204340303,Gas naturale,24.0,Generatore a combustione,2001.0,Gas naturale,24.0,0.74,0.05,195.71,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2001.0,Gas naturale,24.0,0.8,0.0,18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,8.0,False,4.0,8.0,True,False,Marco Nolli,Diploma di laurea in ingegneria,Ordine degli ingegneri,1519500079410,18-DIC-10,"VIA GOITO, 8",MI,SAN GIULIANO MILANESE,,2,Giorgia,Fontana,NO,E.1(1),1970,Incentivi fiscali,122.66,107.66,417.58,308.95,317.45,0.0518,1.3853,0.0854,0.47200000000000003,3.2863,G,234.6449,173.3254,25.3644,0,46.8774,29.8895,264.5344,0.74,0.63,0.73,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,20.84,0.0458084102317473
56257,1510800037619,26/11/2019,True,False,GORGONZOLA,,11,451,1,False,False,E.1 (1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,GORGONZOLA,VIA TRENTO 19/G,1-2,,45.53660564254872,9.417674427529683,"(45.53660564254873, 9.417674427529683)",E,1961-1976,143.52,143.52,430.5,430.5,True,True,False,True,False,False,red,green,False,E,150.48,"C (75,94)",,10.45,30.02,3190.56,1473.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,Fabbricato - involucro trasparente,No,10.0,5.0,65.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,115.44,0.27,87.19,0.0,0.0,Generatore a combustione,2010.0,,Gas naturale,24.0,,,,,0.8,0.6,109.63,Pompa di calore,2012.0,Energia elettrica,4.5,,,,,0.69,0.46,1.92,Scalda-acqua,2006.0,Energia elettrica,1.2,0.37,9.38,38.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,4.0,False,8.0,4.0,True,False,Roberto Bozza,Diploma di geometra,Collegio dei geometri,10802400080512,20-DIC-12,"VIA MONTE ROSA, 43",MB,GIUSSANO,,7,Marco,Vimercati,NO,E.1(1),dopo il 2006,Contratto di locazione,45.93,38.91,167.18,108.95,115.45,0.0616,0.5455,,0.4,2.2652,D,112.6847,56.9997,14.5657,0,22.512,75.9545,188.6392,0.51,0.3,0.42,Aerazione - Ventilazione naturale,0.3000,,,,,,,Gas naturale,Generatore multistadio o modulante,26.30,8.662508662513094e-05
56300,9804600001519,18/03/2019,True,False,SALERANO SUL LAMBRO,,4,301,16,False,False,E.1 (1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,SALERANO SUL LAMBRO,Via Don Lorenzo Perosi 1,Primo,,45.29502807476307,9.386848488145528,"(45.295028074763074, 9.386848488145528)",E,1961-1976,75.17,75.17,303.83,303.83,True,True,False,True,False,False,red,yellow,False,F,313.36,"B (107,42)",,4.29,60.2,686.73,2128.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1,101.82,1.0,Fabbricato - involucro opaco,Si,5.0,6.0,139.6,2.0,Fabbricato - involucro trasparente,No,20.0,8.0,263.6,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,Si,8.0,4.0,101.82,0.0,,219.71,0.72,184.63,0.03,0.15,Generatore a combustione,2003.0,,Gas naturale,24.0,,,,,0.68,0.0,271.24,Pompa di calore,2003.0,Energia elettrica,2.5,,,,,1.17,4.29,17.81,Generatore a combustione,2003.0,Gas naturale,24.0,0.73,0.0,24.31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,11.0,False,8.0,11.0,True,False,Andrea Ferrari,Diploma di geometra,Collegio dei geometri,1901000001213,10-MAG-13,"VIA SALVO D'ACQUISTO, 33/A",CR,CAMISANO,,501,Alberto,Valerani,NO,E.1(1),1993-2006,Ace volontario,101.67,86.87,320.26,234.55,224.71,0.0323,0.59,0.64,0.73,3.5489,G,203.3549,100.9753,6.2308,0,40.5243,58.4547,261.8096,0.5,0.34,0.46,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,24.00,0.02275727094806791
56632,1401000001919,26/09/2019,True,False,BUGLIO IN MONTE,,8,363,0,False,False,E.1 (2),True,False,False,1.0,False,True,False,False,False,False,,Lombardia,BUGLIO IN MONTE,Località Prato Calec SNC,T,,,,,F,1977-1992,48.24,0.0,176.29,0.0,True,False,False,True,False,False,red,yellow,False,E,251.99,"A3 (57,24)",,861.1,6.99,0.0,169.69,0.0,0.0,0.0,10596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1,91.38,1.0,Fabbricato - involucro opaco,Si,3.4,4.0,96.79,2.0,Fabbricato - involucro trasparente,No,8.1,8.0,246.25,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Cumulativo,No,3.6,4.0,91.38,0.0,,201.44,1.14,467.76,0.02,0.9,Generatore a biomassa,1920.0,,Biomasse solide,10.0,,,,,2.17,861.1,215.28,,,,,,,,,0.0,0.0,0.0,Scalda-acqua,1920.0,Gas naturale,5.0,0.62,0.0,36.71,,,,,,,,Generatore a biomassa,1920.0,Biomasse solide,10.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True,True,False,,False,,,True,False,FABRIZIO SCINETTI,Diploma di laurea in architettura,Ordine degli architetti,1901700001111,10-MAR-11,PIAZZA STELLA  SN,CR,CASALE CREMASCO-VIDOLASCO,,502,Giulia Antonia,Curci,NO,E.1(1),2009,Trasferimento a titolo oneroso,81.25,63.5,268.73,171.45,199.77,0.06,0.3621,0.2,0.4242,1.7531,C,66.5529,53.5159,14.9224,5.3967,13.2928,20.962,87.5149,0.8,1.02,0.86,Aerazione - Ventilazione naturale,0.3000,Collettori piani vetrati,,,1.7700,,0.028,Gas naturale,Generatore a condensazione multistadio o modulante,20.00,0.008290309769658397
56642,1901700000716,18/02/2016,True,False,CASALE CREMASCO VIDOLASCO,,8,363,503,False,False,E.1(1),True,False,False,1.0,False,True,False,False,False,False,,Lombardia,CASALE CREMASCO - VIDOLASCO,PIAZZA STELLA 15,2,,,,,E,2010,66.82,66.82,269.04,269.04,True,True,False,True,False,False,red,green,False,E,210.07,"A1 (94,73)",,0.38,39.68,0.0,1334.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,165.32,0.61,141.7,0.01,0.13,Generatore a combustione,2010.0,,Gas naturale,20.0,,,,,0.76,0.0,186.89,Pompa di calore,2010.0,Energia elettrica,7.1,,,,,0.81,0.38,1.56,Generatore a combustione,2010.0,Gas naturale,20.0,0.89,0.0,21.62,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,,False,,,True,False,LUCA BENEDETTI,Diploma di laurea in architettura,Ordine degli architetti,1706600002713,01-APR-13,"VIA PADRE PIO, 25",BS,DELLO,NCT,5,Luca,Vezzoli,NO,E.1(1),2003,Trasferimento a titolo oneroso,76.67,64.4,258.76,173.88,169.81,0.0556,0.7043,,1.2309999999999999,3.3395,G,194.4455,139.0132,18.2253,0,38.8278,40.4155,234.861,0.71,0.53,0.68,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,25.50,0.02715944834260833
57149,2006500049115,16/12/2015,True,False,SUZZARA,,43,72,75,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,SUZZARA,VIA MARIE CURIE 4,TERRA,,44.99750297969424,10.739342078835186,"(44.99750297969424, 10.739342078835188)",E,1977-1992,79.8,0.0,264.88,0.0,True,False,False,True,False,False,red,green,False,G,257.55,"B (48,29)",,0.0,49.01,0.0,1969.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,182.08,0.69,179.95,0.02,0.0,Generatore a combustione,1990.0,,Gas naturale,23.6,,,,,0.77,0.0,235.21,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1990.0,Gas naturale,23.6,0.78,0.0,22.34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,9.0,False,4.0,9.0,True,False,Dennis Borghi,Diploma di geometra,Collegio dei geometri,10803300097012,29-FEB-12,"VIA ALESSANDRO PENNATI, 19",MB,MONZA,,5,Luca,De Ponti,NO,E.1(1),prima del 1930,Trasferimento a titolo oneroso,167.23,144.39,610.39,483.67,190.92,0.1792,1.3023,,1.3,3.257,G,191.3139,131.6213,15.4824,0,38.1956,25.7703,217.0842,0.69,0.68,0.69,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore multistadio o modulante,24.10,0.04855008787346207
57211,10803500030316,02/11/2016,True,False,NOVA MILANESE,,3,22,1,False,False,E.1(1),True,False,False,1.0,False,False,False,True,False,True,Annuncio commerciale,Lombardia,NOVA MILANESE,Via Ciro Menotti 17,,,45.59698056723514,9.206896271886864,"(45.59698056723515, 9.206896271886862)",E,1961-1976,79.5,0.0,230.5,0.0,True,False,False,True,False,False,yellow,yellow,False,A1,72.94,"A3 (37,76)",,0.0,13.88,0.0,555.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,273.13,1.18,37.19,0.09,0.13,Generatore a combustione,2016.0,,Gas naturale,24.0,,,,,0.96,0.0,38.66,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,2016.0,Gas naturale,24.0,0.5,0.0,34.29,,,,,,,,Solare termico,,Solare termico,2.5,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,12.0,False,5.0,12.0,True,False,Diego Pisera,Diploma di geometra,Collegio dei geometri,1513000002111,17-GEN-11,"STRADA DEL ROCCOLO, 4",MI,MAGENTA,,2,Alessandro,Palmieri,NO,E.1(1),1946-1960,Contratto di locazione,70.74,57.43,254.66,172.29,265.74,0.0332,1.1037,1.5,1.65,3.8285,G,395.1466,308.9565,11.9237,0,78.9378,37.587,432.7336,0.78,0.58,0.76,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,26.70,0.027056712920587218
57226,1906900001515,14/11/2015,True,False,PESCAROLO ED UNITI,,5,61,1,False,False,E.1(1),True,False,False,1.0,False,False,True,False,False,True,Annuncio commerciale,Lombardia,PESCAROLO ED UNITI,VIA XXV APRILE 1,,,45.198079606382564,10.183287687595163,"(45.198079606382564, 10.183287687595165)",E,1946-1960,75.0,0.0,292.8,0.0,True,False,False,True,False,False,red,green,False,G,479.7,"B (64,95)",,0.0,91.28,0.0,3447.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,176.88,0.6,260.08,0.02,0.0,Generatore a combustione,1990.0,,Gas naturale,20.0,,,,,0.57,0.0,454.13,,,,,,,,,0.0,0.0,0.0,Generatore a combustione,1990.0,Gas naturale,4.0,0.71,0.0,25.57,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,True,True,False,8.0,False,4.0,8.0,True,False,paolo azzali,Laurea magistrale in architettura,Ordine degli architetti,1516100008210,03-SET-10,VIA VIMERCATE SNC,MI,ORNAGO,SU,41,Fabio,Spadone,NO,E.1(1),2004,Trasferimento a titolo oneroso,86.42,74.86,271.81,188.3,181.5,0.0859,0.4438,0.327,,3.2686,E,124.6363,76.9419,36.1714,0,24.9011,66.3047,190.941,0.62,0.31,0.51,Aerazione - Ventilazione naturale,0.5000,,,,,,,Gas naturale,Generatore tradizionale,23.70,0.026119402985074654
